seed,model,class,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
42,CTGAN,bot,0.718422674060382,0.7265917602996255,0.008169086239243506,0.9781879194630873,0.9765100671140939,-0.001677852348993314
42,CTGAN,brute_force,0.7221621621621621,0.7361563517915309,0.013994189629368825,0.750561797752809,0.7617977528089888,0.011235955056179803
42,CTGAN,xss,0.425531914893617,0.43414634146341463,0.008614426569797606,0.46296296296296297,0.41203703703703703,-0.05092592592592593
42,TabDDPM,bot,0.718422674060382,0.6587570621468927,-0.05966561191348929,0.9781879194630873,0.9781879194630873,0.0
42,TabDDPM,brute_force,0.7221621621621621,0.7290322580645161,0.00687009590235399,0.750561797752809,0.7617977528089888,0.011235955056179803
42,TabDDPM,xss,0.425531914893617,0.4362745098039216,0.010742594910304548,0.46296296296296297,0.41203703703703703,-0.05092592592592593
42,Drifting,bot,0.718422674060382,0.7309136420525657,0.012490967992183744,0.9781879194630873,0.9798657718120806,0.001677852348993314
42,Drifting,brute_force,0.7221621621621621,0.7405764966740577,0.018414334511895558,0.750561797752809,0.750561797752809,0.0
42,Drifting,xss,0.425531914893617,0.4838709677419355,0.05833905284831847,0.46296296296296297,0.4861111111111111,0.02314814814814814
123,CTGAN,bot,0.6253340459647247,0.7294413057124921,0.10410725974776736,0.9815436241610739,0.9748322147651006,-0.006711409395973256
123,CTGAN,brute_force,0.7067833698030634,0.738359201773836,0.03157583197077252,0.7258426966292135,0.748314606741573,0.022471910112359494
123,CTGAN,xss,0.41392649903288203,0.46924829157175396,0.05532179253887193,0.49537037037037035,0.47685185185185186,-0.01851851851851849
123,TabDDPM,bot,0.6253340459647247,0.6966426858513189,0.0713086398865942,0.9815436241610739,0.9748322147651006,-0.006711409395973256
123,TabDDPM,brute_force,0.7067833698030634,0.7321237993596584,0.02534042955659499,0.7258426966292135,0.7707865168539326,0.0449438202247191
123,TabDDPM,xss,0.41392649903288203,0.41927710843373495,0.005350609400852913,0.49537037037037035,0.4027777777777778,-0.09259259259259256
123,Drifting,bot,0.6253340459647247,0.718865598027127,0.09353155206240227,0.9815436241610739,0.9781879194630873,-0.003355704697986628
123,Drifting,brute_force,0.7067833698030634,0.7303370786516854,0.023553708848621957,0.7258426966292135,0.7303370786516854,0.004494382022471877
123,Drifting,xss,0.41392649903288203,0.445859872611465,0.031933373578582946,0.49537037037037035,0.4861111111111111,-0.009259259259259245
456,CTGAN,bot,0.679814385150812,0.6954976303317536,0.015683245180941552,0.9832214765100671,0.9848993288590604,0.001677852348993314
456,CTGAN,brute_force,0.7317073170731707,0.7445414847161572,0.012834167642986505,0.7415730337078652,0.7662921348314606,0.024719101123595433
456,CTGAN,xss,0.43711340206185567,0.45255474452554745,0.015441342463691776,0.49074074074074076,0.4305555555555556,-0.060185185185185175
456,TabDDPM,bot,0.679814385150812,0.693634741225461,0.013820356074648932,0.9832214765100671,0.9781879194630873,-0.005033557046979831
456,TabDDPM,brute_force,0.7317073170731707,0.7497337593184239,0.018026442245253183,0.7415730337078652,0.7910112359550562,0.04943820224719098
456,TabDDPM,xss,0.43711340206185567,0.40625,-0.03086340206185567,0.49074074074074076,0.3611111111111111,-0.12962962962962965
456,Drifting,bot,0.679814385150812,0.7046818727490997,0.024867487598287608,0.9832214765100671,0.9848993288590604,0.001677852348993314
456,Drifting,brute_force,0.7317073170731707,0.7362514029180696,0.004544085844898849,0.7415730337078652,0.7370786516853932,-0.004494382022471988
456,Drifting,xss,0.43711340206185567,0.4703296703296703,0.03321626826781465,0.49074074074074076,0.49537037037037035,0.004629629629629595
789,CTGAN,bot,0.6536530953708868,0.7303370786516854,0.07668398328079862,0.9832214765100671,0.9815436241610739,-0.001677852348993203
789,CTGAN,brute_force,0.7248908296943232,0.7424749163879598,0.017584086693636647,0.7460674157303371,0.748314606741573,0.0022471910112359383
789,CTGAN,xss,0.4403292181069959,0.4459770114942529,0.005647793387257016,0.49537037037037035,0.44907407407407407,-0.04629629629629628
789,TabDDPM,bot,0.6536530953708868,0.698090692124105,0.044437596753218234,0.9832214765100671,0.9815436241610739,-0.001677852348993203
789,TabDDPM,brute_force,0.7248908296943232,0.7462365591397849,0.02134572944546176,0.7460674157303371,0.7797752808988764,0.0337078651685393
789,TabDDPM,xss,0.4403292181069959,0.44711538461538464,0.006786166508388758,0.49537037037037035,0.4305555555555556,-0.06481481481481477
789,Drifting,bot,0.6536530953708868,0.6499721758486366,-0.0036809195222501367,0.9832214765100671,0.9798657718120806,-0.003355704697986517
789,Drifting,brute_force,0.7248908296943232,0.7347391786903441,0.00984834899602094,0.7460674157303371,0.7438202247191011,-0.0022471910112359383
789,Drifting,xss,0.4403292181069959,0.4364406779661017,-0.003888540140894181,0.49537037037037035,0.47685185185185186,-0.01851851851851849
1024,CTGAN,bot,0.6628766344513929,0.7077486272117145,0.04487199276032161,0.9781879194630873,0.9731543624161074,-0.005033557046979831
1024,CTGAN,brute_force,0.7199100112485939,0.7491712707182321,0.0292612594696382,0.7191011235955056,0.7617977528089888,0.04269662921348316
1024,CTGAN,xss,0.428842504743833,0.45410628019323673,0.025263775449403725,0.5231481481481481,0.4351851851851852,-0.08796296296296297
1024,TabDDPM,bot,0.6628766344513929,0.6987372218881539,0.035860587436761016,0.9781879194630873,0.9748322147651006,-0.003355704697986628
1024,TabDDPM,brute_force,0.7199100112485939,0.7361563517915309,0.016246340542937054,0.7191011235955056,0.7617977528089888,0.04269662921348316
1024,TabDDPM,xss,0.428842504743833,0.41849148418491483,-0.010351020558918178,0.5231481481481481,0.39814814814814814,-0.125
1024,Drifting,bot,0.6628766344513929,0.6639954207212364,0.0011187862698435191,0.9781879194630873,0.9731543624161074,-0.005033557046979831
1024,Drifting,brute_force,0.7199100112485939,0.7354260089686099,0.015515997720015995,0.7191011235955056,0.7370786516853932,0.017977528089887618
1024,Drifting,xss,0.428842504743833,0.4568764568764569,0.028033952132623885,0.5231481481481481,0.4537037037037037,-0.06944444444444442
