seed,model,ratio,class,n_synth,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
42,CTGAN,1,bot,1360,0.718422674060382,0.7265917602996255,0.0081690862392435,0.9781879194630873,0.976510067114094,-0.0016778523489933
42,CTGAN,1,brute_force,1062,0.7221621621621621,0.7361563517915309,0.0139941896293688,0.750561797752809,0.7617977528089888,0.0112359550561798
42,CTGAN,1,xss,436,0.425531914893617,0.4341463414634146,0.0086144265697976,0.4629629629629629,0.412037037037037,-0.0509259259259259
42,TabDDPM,1,bot,1360,0.718422674060382,0.6587570621468927,-0.0596656119134892,0.9781879194630873,0.9781879194630873,0.0
42,TabDDPM,1,brute_force,1062,0.7221621621621621,0.7290322580645161,0.0068700959023539,0.750561797752809,0.7617977528089888,0.0112359550561798
42,TabDDPM,1,xss,436,0.425531914893617,0.4362745098039216,0.0107425949103045,0.4629629629629629,0.412037037037037,-0.0509259259259259
42,Drifting,1,bot,1360,0.718422674060382,0.7309136420525657,0.0124909679921837,0.9781879194630873,0.9798657718120806,0.0016778523489933
42,Drifting,1,brute_force,1062,0.7221621621621621,0.7405764966740577,0.0184143345118955,0.750561797752809,0.750561797752809,0.0
42,Drifting,1,xss,436,0.425531914893617,0.4838709677419355,0.0583390528483184,0.4629629629629629,0.4861111111111111,0.0231481481481481
123,CTGAN,1,bot,1360,0.6253340459647247,0.7294413057124921,0.1041072597477673,0.981543624161074,0.9748322147651006,-0.0067114093959732
123,CTGAN,1,brute_force,1062,0.7067833698030634,0.738359201773836,0.0315758319707725,0.7258426966292135,0.748314606741573,0.0224719101123594
123,CTGAN,1,xss,436,0.413926499032882,0.4692482915717539,0.0553217925388719,0.4953703703703703,0.4768518518518518,-0.0185185185185184
123,TabDDPM,1,bot,1360,0.6253340459647247,0.6966426858513189,0.0713086398865942,0.981543624161074,0.9748322147651006,-0.0067114093959732
123,TabDDPM,1,brute_force,1062,0.7067833698030634,0.7321237993596584,0.0253404295565949,0.7258426966292135,0.7707865168539326,0.0449438202247191
123,TabDDPM,1,xss,436,0.413926499032882,0.4192771084337349,0.0053506094008529,0.4953703703703703,0.4027777777777778,-0.0925925925925925
123,Drifting,1,bot,1360,0.6253340459647247,0.718865598027127,0.0935315520624022,0.981543624161074,0.9781879194630873,-0.0033557046979866
123,Drifting,1,brute_force,1062,0.7067833698030634,0.7303370786516854,0.0235537088486219,0.7258426966292135,0.7303370786516854,0.0044943820224718
123,Drifting,1,xss,436,0.413926499032882,0.445859872611465,0.0319333735785829,0.4953703703703703,0.4861111111111111,-0.0092592592592592
456,CTGAN,1,bot,1360,0.679814385150812,0.6954976303317536,0.0156832451809415,0.9832214765100672,0.9848993288590604,0.0016778523489933
456,CTGAN,1,brute_force,1062,0.7317073170731707,0.7445414847161572,0.0128341676429865,0.7415730337078652,0.7662921348314606,0.0247191011235954
456,CTGAN,1,xss,436,0.4371134020618556,0.4525547445255474,0.0154413424636917,0.4907407407407407,0.4305555555555556,-0.0601851851851851
456,TabDDPM,1,bot,1360,0.679814385150812,0.693634741225461,0.0138203560746489,0.9832214765100672,0.9781879194630873,-0.0050335570469798
456,TabDDPM,1,brute_force,1062,0.7317073170731707,0.7497337593184239,0.0180264422452531,0.7415730337078652,0.7910112359550562,0.0494382022471909
456,TabDDPM,1,xss,436,0.4371134020618556,0.40625,-0.0308634020618556,0.4907407407407407,0.3611111111111111,-0.1296296296296296
456,Drifting,1,bot,1360,0.679814385150812,0.7046818727490997,0.0248674875982876,0.9832214765100672,0.9848993288590604,0.0016778523489933
456,Drifting,1,brute_force,1062,0.7317073170731707,0.7362514029180696,0.0045440858448988,0.7415730337078652,0.7370786516853932,-0.0044943820224719
456,Drifting,1,xss,436,0.4371134020618556,0.4703296703296703,0.0332162682678146,0.4907407407407407,0.4953703703703703,0.0046296296296295
789,CTGAN,1,bot,1360,0.6536530953708868,0.7303370786516854,0.0766839832807986,0.9832214765100672,0.981543624161074,-0.0016778523489932
789,CTGAN,1,brute_force,1062,0.7248908296943232,0.7424749163879598,0.0175840866936366,0.7460674157303371,0.748314606741573,0.0022471910112359
789,CTGAN,1,xss,436,0.4403292181069959,0.4459770114942529,0.005647793387257,0.4953703703703703,0.449074074074074,-0.0462962962962962
789,TabDDPM,1,bot,1360,0.6536530953708868,0.698090692124105,0.0444375967532182,0.9832214765100672,0.981543624161074,-0.0016778523489932
789,TabDDPM,1,brute_force,1062,0.7248908296943232,0.7462365591397849,0.0213457294454617,0.7460674157303371,0.7797752808988764,0.0337078651685393
789,TabDDPM,1,xss,436,0.4403292181069959,0.4471153846153846,0.0067861665083887,0.4953703703703703,0.4305555555555556,-0.0648148148148147
789,Drifting,1,bot,1360,0.6536530953708868,0.6499721758486366,-0.0036809195222501,0.9832214765100672,0.9798657718120806,-0.0033557046979865
789,Drifting,1,brute_force,1062,0.7248908296943232,0.7347391786903441,0.0098483489960209,0.7460674157303371,0.7438202247191011,-0.0022471910112359
