seed,model,ratio,class,n_synth,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
42,CTGAN,1,bot,1360,0.718422674060382,0.7265917602996255,0.008169086239243506,0.9781879194630873,0.9765100671140939,-0.001677852348993314
42,CTGAN,1,brute_force,1062,0.7221621621621621,0.7361563517915309,0.013994189629368825,0.750561797752809,0.7617977528089888,0.011235955056179803
42,CTGAN,1,xss,436,0.425531914893617,0.43414634146341463,0.008614426569797606,0.46296296296296297,0.41203703703703703,-0.05092592592592593
42,TabDDPM,1,bot,1360,0.718422674060382,0.6587570621468927,-0.05966561191348929,0.9781879194630873,0.9781879194630873,0.0
42,TabDDPM,1,brute_force,1062,0.7221621621621621,0.7290322580645161,0.00687009590235399,0.750561797752809,0.7617977528089888,0.011235955056179803
42,TabDDPM,1,xss,436,0.425531914893617,0.4362745098039216,0.010742594910304548,0.46296296296296297,0.41203703703703703,-0.05092592592592593
42,Drifting,1,bot,1360,0.718422674060382,0.7309136420525657,0.012490967992183744,0.9781879194630873,0.9798657718120806,0.001677852348993314
42,Drifting,1,brute_force,1062,0.7221621621621621,0.7405764966740577,0.018414334511895558,0.750561797752809,0.750561797752809,0.0
42,Drifting,1,xss,436,0.425531914893617,0.4838709677419355,0.05833905284831847,0.46296296296296297,0.4861111111111111,0.02314814814814814
42,CTGAN,3,bot,4080,0.718422674060382,0.752258064516129,0.033835390455747016,0.9781879194630873,0.9781879194630873,0.0
42,CTGAN,3,brute_force,3186,0.7221621621621621,0.7401574803149606,0.017995318152798534,0.750561797752809,0.7393258426966293,-0.011235955056179692
42,CTGAN,3,xss,1308,0.425531914893617,0.47139588100686497,0.045863966113247945,0.46296296296296297,0.47685185185185186,0.013888888888888895
42,TabDDPM,3,bot,4080,0.718422674060382,0.7248908296943232,0.006468155633941208,0.9781879194630873,0.9748322147651006,-0.003355704697986628
42,TabDDPM,3,brute_force,3186,0.7221621621621621,0.7371727748691099,0.015010612706947812,0.750561797752809,0.7910112359550562,0.04044943820224722
42,TabDDPM,3,xss,1308,0.425531914893617,0.39690721649484534,-0.028624698398771686,0.46296296296296297,0.35648148148148145,-0.10648148148148151
42,Drifting,3,bot,4080,0.718422674060382,0.730817610062893,0.01239493600251107,0.9781879194630873,0.9748322147651006,-0.003355704697986628
42,Drifting,3,brute_force,3186,0.7221621621621621,0.7354260089686099,0.013263846806447765,0.750561797752809,0.7370786516853932,-0.013483146067415741
42,Drifting,3,xss,1308,0.425531914893617,0.48847926267281105,0.06294734777919403,0.46296296296296297,0.49074074074074076,0.02777777777777779
42,CTGAN,5,bot,6800,0.718422674060382,0.7598425196850394,0.04141984562465739,0.9781879194630873,0.9714765100671141,-0.006711409395973145
42,CTGAN,5,brute_force,5310,0.7221621621621621,0.7414965986394558,0.019334436477293715,0.750561797752809,0.7348314606741573,-0.01573033707865168
42,CTGAN,5,xss,2180,0.425531914893617,0.4841628959276018,0.058630981033984786,0.46296296296296297,0.49537037037037035,0.032407407407407385
42,TabDDPM,5,bot,6800,0.718422674060382,0.7471116816431322,0.02868900758275028,0.9781879194630873,0.9765100671140939,-0.001677852348993314
42,TabDDPM,5,brute_force,5310,0.7221621621621621,0.734065934065934,0.011903771903771898,0.750561797752809,0.750561797752809,0.0
42,TabDDPM,5,xss,2180,0.425531914893617,0.4418052256532066,0.0162733107595896,0.46296296296296297,0.4305555555555556,-0.032407407407407385
42,Drifting,5,bot,6800,0.718422674060382,0.761026991441738,0.04260431738135606,0.9781879194630873,0.9697986577181208,-0.008389261744966459
42,Drifting,5,brute_force,5310,0.7221621621621621,0.7337962962962963,0.011634134134134166,0.750561797752809,0.7123595505617978,-0.038202247191011174
