seed,model,ratio,class,n_synth,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
42,CTGAN,1,bot,1360,0.718422674060382,0.7265917602996255,0.0081690862392435,0.9781879194630873,0.976510067114094,-0.0016778523489933
42,CTGAN,1,brute_force,1062,0.7221621621621621,0.7361563517915309,0.0139941896293688,0.750561797752809,0.7617977528089888,0.0112359550561798
42,CTGAN,1,xss,436,0.425531914893617,0.4341463414634146,0.0086144265697976,0.4629629629629629,0.412037037037037,-0.0509259259259259
42,TabDDPM,1,bot,1360,0.718422674060382,0.6587570621468927,-0.0596656119134892,0.9781879194630873,0.9781879194630873,0.0
42,TabDDPM,1,brute_force,1062,0.7221621621621621,0.7290322580645161,0.0068700959023539,0.750561797752809,0.7617977528089888,0.0112359550561798
42,TabDDPM,1,xss,436,0.425531914893617,0.4362745098039216,0.0107425949103045,0.4629629629629629,0.412037037037037,-0.0509259259259259
42,Drifting,1,bot,1360,0.718422674060382,0.7309136420525657,0.0124909679921837,0.9781879194630873,0.9798657718120806,0.0016778523489933
42,Drifting,1,brute_force,1062,0.7221621621621621,0.7405764966740577,0.0184143345118955,0.750561797752809,0.750561797752809,0.0
42,Drifting,1,xss,436,0.425531914893617,0.4838709677419355,0.0583390528483184,0.4629629629629629,0.4861111111111111,0.0231481481481481
42,CTGAN,3,bot,4080,0.718422674060382,0.752258064516129,0.033835390455747,0.9781879194630873,0.9781879194630873,0.0
42,CTGAN,3,brute_force,3186,0.7221621621621621,0.7401574803149606,0.0179953181527985,0.750561797752809,0.7393258426966293,-0.0112359550561796
42,CTGAN,3,xss,1308,0.425531914893617,0.4713958810068649,0.0458639661132479,0.4629629629629629,0.4768518518518518,0.0138888888888888
42,TabDDPM,3,bot,4080,0.718422674060382,0.7248908296943232,0.0064681556339412,0.9781879194630873,0.9748322147651006,-0.0033557046979866
42,TabDDPM,3,brute_force,3186,0.7221621621621621,0.7371727748691099,0.0150106127069478,0.750561797752809,0.7910112359550562,0.0404494382022472
42,TabDDPM,3,xss,1308,0.425531914893617,0.3969072164948453,-0.0286246983987716,0.4629629629629629,0.3564814814814814,-0.1064814814814815
42,Drifting,3,bot,4080,0.718422674060382,0.730817610062893,0.012394936002511,0.9781879194630873,0.9748322147651006,-0.0033557046979866
42,Drifting,3,brute_force,3186,0.7221621621621621,0.7354260089686099,0.0132638468064477,0.750561797752809,0.7370786516853932,-0.0134831460674157
42,Drifting,3,xss,1308,0.425531914893617,0.488479262672811,0.062947347779194,0.4629629629629629,0.4907407407407407,0.0277777777777777
42,CTGAN,5,bot,6800,0.718422674060382,0.7598425196850394,0.0414198456246573,0.9781879194630873,0.971476510067114,-0.0067114093959731
42,CTGAN,5,brute_force,5310,0.7221621621621621,0.7414965986394558,0.0193344364772937,0.750561797752809,0.7348314606741573,-0.0157303370786516
42,CTGAN,5,xss,2180,0.425531914893617,0.4841628959276018,0.0586309810339847,0.4629629629629629,0.4953703703703703,0.0324074074074073
42,TabDDPM,5,bot,6800,0.718422674060382,0.7471116816431322,0.0286890075827502,0.9781879194630873,0.976510067114094,-0.0016778523489933
42,TabDDPM,5,brute_force,5310,0.7221621621621621,0.734065934065934,0.0119037719037718,0.750561797752809,0.750561797752809,0.0
42,TabDDPM,5,xss,2180,0.425531914893617,0.4418052256532066,0.0162733107595896,0.4629629629629629,0.4305555555555556,-0.0324074074074073
42,Drifting,5,bot,6800,0.718422674060382,0.761026991441738,0.042604317381356,0.9781879194630873,0.9697986577181208,-0.0083892617449664
42,Drifting,5,brute_force,5310,0.7221621621621621,0.7337962962962963,0.0116341341341341,0.750561797752809,0.7123595505617978,-0.0382022471910111
42,Drifting,5,xss,2180,0.425531914893617,0.5087719298245614,0.0832400149309444,0.4629629629629629,0.5370370370370371,0.0740740740740741
123,CTGAN,1,bot,1360,0.6253340459647247,0.7294413057124921,0.1041072597477673,0.981543624161074,0.9748322147651006,-0.0067114093959732
123,CTGAN,1,brute_force,1062,0.7067833698030634,0.738359201773836,0.0315758319707725,0.7258426966292135,0.748314606741573,0.0224719101123594
123,CTGAN,1,xss,436,0.413926499032882,0.4692482915717539,0.0553217925388719,0.4953703703703703,0.4768518518518518,-0.0185185185185184
123,TabDDPM,1,bot,1360,0.6253340459647247,0.6966426858513189,0.0713086398865942,0.981543624161074,0.9748322147651006,-0.0067114093959732
123,TabDDPM,1,brute_force,1062,0.7067833698030634,0.7321237993596584,0.0253404295565949,0.7258426966292135,0.7707865168539326,0.0449438202247191
123,TabDDPM,1,xss,436,0.413926499032882,0.4192771084337349,0.0053506094008529,0.4953703703703703,0.4027777777777778,-0.0925925925925925
123,Drifting,1,bot,1360,0.6253340459647247,0.718865598027127,0.0935315520624022,0.981543624161074,0.9781879194630873,-0.0033557046979866
123,Drifting,1,brute_force,1062,0.7067833698030634,0.7303370786516854,0.0235537088486219,0.7258426966292135,0.7303370786516854,0.0044943820224718
123,Drifting,1,xss,436,0.413926499032882,0.445859872611465,0.0319333735785829,0.4953703703703703,0.4861111111111111,-0.0092592592592592
