model,ratio,class,f1_delta_mean,f1_delta_std,recall_delta_mean,recall_delta_std,f1_aug_mean,f1_aug_std
CTGAN,1,bot,0.0558,0.0324,-0.0032,0.0038,0.722,0.0169
CTGAN,1,brute_force,0.0246,0.0082,0.0238,0.0119,0.7441,0.006
CTGAN,1,xss,0.0315,0.0227,-0.0421,0.0271,0.4547,0.0134
CTGAN,3,bot,0.0829,0.0331,-0.005,0.0044,0.749,0.0176
CTGAN,3,brute_force,0.0253,0.0099,0.0151,0.0141,0.7447,0.0049
CTGAN,3,xss,0.0415,0.0155,-0.0236,0.0203,0.4647,0.0117
CTGAN,5,bot,0.0875,0.0254,-0.0065,0.0037,0.7536,0.0084
CTGAN,5,brute_force,0.0265,0.0103,0.0139,0.0149,0.746,0.0074
CTGAN,5,xss,0.0448,0.0192,-0.0162,0.0326,0.4679,0.0176
Drifting,1,bot,0.014,0.0398,-0.0008,0.0032,0.6802,0.0398
Drifting,1,brute_force,0.0135,0.0059,0.004,0.0069,0.7329,0.0103
Drifting,1,xss,0.0329,0.0208,-0.0139,0.0258,0.456,0.0202
Drifting,3,bot,0.0487,0.0321,-0.0045,0.0016,0.7149,0.0334
Drifting,3,brute_force,0.0139,0.0143,-0.0088,0.0259,0.7334,0.0094
Drifting,3,xss,0.0652,0.0226,0.0144,0.0402,0.4884,0.0227
Drifting,5,bot,0.0821,0.0276,-0.0077,0.002,0.7482,0.0147
Drifting,5,brute_force,0.0157,0.0121,-0.0094,0.0166,0.7351,0.0092
Drifting,5,xss,0.0684,0.021,0.0157,0.0288,0.4916,0.0137
TabDDPM,1,bot,0.0277,0.0355,-0.0039,0.003,0.6939,0.0195
TabDDPM,1,brute_force,0.0173,0.0052,0.0396,0.0144,0.7368,0.0085
TabDDPM,1,xss,-0.0015,0.0224,-0.0944,0.0367,0.4216,0.025
TabDDPM,3,bot,0.0553,0.0294,-0.0057,0.0044,0.7214,0.0208
TabDDPM,3,brute_force,0.0187,0.0093,0.0364,0.0091,0.7382,0.0055
TabDDPM,3,xss,-0.0,0.02,-0.0875,0.0201,0.4231,0.0163
TabDDPM,5,bot,0.0714,0.0284,-0.0076,0.0035,0.7376,0.0182
TabDDPM,5,brute_force,0.0193,0.0099,0.0342,0.0149,0.7387,0.0097
TabDDPM,5,xss,0.0099,0.0251,-0.0736,0.0311,0.433,0.0146
