seed,model,ratio,class,n_synth,f1_baseline,f1_augmented,f1_delta,recall_baseline,recall_augmented,recall_delta
42,CTGAN,1,backdoor,1746,0.9765013054830287,0.9739583333333334,-0.002542972149695344,0.9622641509433962,0.9622641509433962,0.0
42,CTGAN,1,shellcode,1133,0.5921658986175116,0.6039035591274398,0.011737660509928194,0.6798941798941799,0.6957671957671958,0.015873015873015928
42,CTGAN,1,worms,130,0.851063829787234,0.8571428571428571,0.006079027355623046,0.9090909090909091,0.8863636363636364,-0.022727272727272707
42,TabDDPM,1,backdoor,1746,0.9765013054830287,0.9756944444444444,-0.0008068610385842945,0.9622641509433962,0.9639794168096055,0.0017152658662092923
42,TabDDPM,1,shellcode,1133,0.5921658986175116,0.5983701979045402,0.006204299287028592,0.6798941798941799,0.6798941798941799,0.0
42,TabDDPM,1,worms,130,0.851063829787234,0.8089887640449438,-0.04207506574229025,0.9090909090909091,0.8181818181818182,-0.09090909090909083
42,Drifting,1,backdoor,1746,0.9765013054830287,0.9739583333333334,-0.002542972149695344,0.9622641509433962,0.9622641509433962,0.0
42,Drifting,1,shellcode,1133,0.5921658986175116,0.5976470588235294,0.005481160206017854,0.6798941798941799,0.671957671957672,-0.007936507936507908
42,Drifting,1,worms,130,0.851063829787234,0.8470588235294118,-0.004005006257822297,0.9090909090909091,0.8181818181818182,-0.09090909090909083
42,CTGAN,3,backdoor,5238,0.9765013054830287,0.9748045178105995,-0.0016967876724292008,0.9622641509433962,0.9622641509433962,0.0
42,CTGAN,3,shellcode,3399,0.5921658986175116,0.59613196814562,0.003966069528108407,0.6798941798941799,0.6931216931216931,0.013227513227513255
42,CTGAN,3,worms,390,0.851063829787234,0.8222222222222222,-0.028841607565011862,0.9090909090909091,0.8409090909090909,-0.06818181818181812
42,TabDDPM,3,backdoor,5238,0.9765013054830287,0.9765421372719374,4.0831788908679556e-05,0.9622641509433962,0.9639794168096055,0.0017152658662092923
42,TabDDPM,3,shellcode,3399,0.5921658986175116,0.6022988505747127,0.010132951957201097,0.6798941798941799,0.6931216931216931,0.013227513227513255
42,TabDDPM,3,worms,390,0.851063829787234,0.8314606741573034,-0.019603155629930646,0.9090909090909091,0.8409090909090909,-0.06818181818181812
42,Drifting,3,backdoor,5238,0.9765013054830287,0.9765013054830287,0.0,0.9622641509433962,0.9622641509433962,0.0
42,Drifting,3,shellcode,3399,0.5921658986175116,0.5952941176470589,0.0031282190295472967,0.6798941798941799,0.6693121693121693,-0.010582010582010581
42,Drifting,3,worms,390,0.851063829787234,0.8372093023255814,-0.01385452746165261,0.9090909090909091,0.8181818181818182,-0.09090909090909083
42,CTGAN,5,backdoor,8730,0.9765013054830287,0.9698015530629853,-0.006699752420043392,0.9622641509433962,0.9639794168096055,0.0017152658662092923
42,CTGAN,5,shellcode,5665,0.5921658986175116,0.5897142857142857,-0.0024516129032258194,0.6798941798941799,0.6825396825396826,0.002645502645502673
42,CTGAN,5,worms,650,0.851063829787234,0.8275862068965517,-0.023477622890682337,0.9090909090909091,0.8181818181818182,-0.09090909090909083
42,TabDDPM,5,backdoor,8730,0.9765013054830287,0.9756944444444444,-0.0008068610385842945,0.9622641509433962,0.9639794168096055,0.0017152658662092923
42,TabDDPM,5,shellcode,5665,0.5921658986175116,0.58675799086758,-0.005407907749931606,0.6798941798941799,0.6798941798941799,0.0
42,TabDDPM,5,worms,650,0.851063829787234,0.8604651162790697,0.009401286491835692,0.9090909090909091,0.8409090909090909,-0.06818181818181812
42,Drifting,5,backdoor,8730,0.9765013054830287,0.9748045178105995,-0.0016967876724292008,0.9622641509433962,0.9622641509433962,0.0
42,Drifting,5,shellcode,5665,0.5921658986175116,0.591715976331361,-0.0004499222861505947,0.6798941798941799,0.6613756613756614,-0.01851851851851849
42,Drifting,5,worms,650,0.851063829787234,0.8433734939759037,-0.007690335811330384,0.9090909090909091,0.7954545454545454,-0.11363636363636365
123,CTGAN,1,backdoor,1746,0.9722222222222222,0.9739583333333334,0.0017361111111111605,0.9605488850771869,0.9622641509433962,0.0017152658662092923
123,CTGAN,1,shellcode,1133,0.5787631271878646,0.5942857142857143,0.015522587097849705,0.656084656084656,0.6878306878306878,0.031746031746031744
123,CTGAN,1,worms,130,0.8470588235294118,0.8222222222222222,-0.024836601307189565,0.8181818181818182,0.8409090909090909,0.022727272727272707
123,TabDDPM,1,backdoor,1746,0.9722222222222222,0.9756521739130435,0.0034299516908212757,0.9605488850771869,0.9622641509433962,0.0017152658662092923
123,TabDDPM,1,shellcode,1133,0.5787631271878646,0.5934314835787089,0.014668356390844295,0.656084656084656,0.6931216931216931,0.03703703703703709
123,TabDDPM,1,worms,130,0.8470588235294118,0.8604651162790697,0.013406292749657989,0.8181818181818182,0.8409090909090909,0.022727272727272707
123,Drifting,1,backdoor,1746,0.9722222222222222,0.9748045178105995,0.0025822955883773036,0.9605488850771869,0.9622641509433962,0.0017152658662092923
123,Drifting,1,shellcode,1133,0.5787631271878646,0.5925925925925926,0.013829465404727959,0.656084656084656,0.6772486772486772,0.021164021164021163
123,Drifting,1,worms,130,0.8470588235294118,0.8470588235294118,0.0,0.8181818181818182,0.8181818181818182,0.0
123,CTGAN,3,backdoor,5238,0.9722222222222222,0.9739583333333334,0.0017361111111111605,0.9605488850771869,0.9622641509433962,0.0017152658662092923
123,CTGAN,3,shellcode,3399,0.5787631271878646,0.6098964326812428,0.031133305493378227,0.656084656084656,0.701058201058201,0.044973544973545
