model,ratio,class,f1_delta_mean,f1_delta_std,recall_delta_mean,recall_delta_std,f1_aug_mean,f1_aug_std
CTGAN,1,backdoor,-0.0007,0.0022,0.0003,0.0008,0.9745,0.0013
CTGAN,1,shellcode,0.0107,0.0069,0.0206,0.0113,0.5962,0.0045
CTGAN,1,worms,-0.0113,0.0438,-0.0227,0.0425,0.8296,0.0209
CTGAN,3,backdoor,-0.002,0.0031,0.0007,0.0009,0.9731,0.0024
CTGAN,3,shellcode,0.0116,0.011,0.0206,0.0144,0.5971,0.0086
CTGAN,3,worms,-0.0097,0.0327,-0.0136,0.0655,0.8313,0.0275
CTGAN,5,backdoor,-0.0032,0.0025,0.0007,0.0009,0.9719,0.0013
CTGAN,5,shellcode,0.01,0.011,0.0233,0.0159,0.5955,0.0059
CTGAN,5,worms,-0.0181,0.0304,-0.0409,0.0518,0.8228,0.0068
Drifting,1,backdoor,0.0002,0.0019,0.0003,0.0008,0.9753,0.001
Drifting,1,shellcode,0.0098,0.0075,0.0095,0.0143,0.5953,0.0046
Drifting,1,worms,0.0116,0.0336,-0.0227,0.0455,0.8525,0.012
Drifting,3,backdoor,0.0,0.002,0.0003,0.0008,0.9751,0.0011
Drifting,3,shellcode,0.009,0.0075,0.0116,0.0128,0.5945,0.0024
Drifting,3,worms,-0.0062,0.0358,-0.0591,0.0674,0.8348,0.0157
Drifting,5,backdoor,-0.0002,0.0014,0.0003,0.0008,0.975,0.0007
Drifting,5,shellcode,0.0079,0.0089,0.0016,0.0152,0.5934,0.0049
Drifting,5,worms,-0.0068,0.03,-0.0636,0.0493,0.8342,0.0105
TabDDPM,1,backdoor,0.0007,0.0016,0.0007,0.0009,0.9758,0.0004
TabDDPM,1,shellcode,0.0101,0.0109,0.0212,0.0184,0.5956,0.0058
TabDDPM,1,worms,-0.0163,0.0364,-0.0318,0.0547,0.8246,0.0263
TabDDPM,3,backdoor,0.0016,0.0024,0.0017,0.0012,0.9767,0.0011
TabDDPM,3,shellcode,0.0103,0.0077,0.0169,0.0058,0.5959,0.0048
TabDDPM,3,worms,-0.0043,0.0337,-0.0273,0.0407,0.8367,0.0188
TabDDPM,5,backdoor,0.0007,0.0014,0.0017,0.0012,0.9759,0.0007
TabDDPM,5,shellcode,0.0133,0.0129,0.0238,0.0171,0.5988,0.007
TabDDPM,5,worms,0.0136,0.0418,-0.0227,0.0579,0.8545,0.0151
