model,ratio,class,f1_delta_mean,f1_delta_std,recall_delta_mean,recall_delta_std,f1_aug_mean,f1_aug_std
CTGAN,1,backdoor,-0.0005,0.0016,0.0003,0.0007,0.9747,0.0012
CTGAN,1,shellcode,0.0094,0.0084,0.0196,0.0096,0.5969,0.0045
CTGAN,1,worms,-0.0145,0.0344,-0.0114,0.039,0.8309,0.0236
CTGAN,3,backdoor,-0.0024,0.0026,0.0003,0.0007,0.9729,0.0021
CTGAN,3,shellcode,0.0094,0.0104,0.0201,0.0118,0.597,0.0067
CTGAN,3,worms,-0.0134,0.0264,-0.0114,0.0494,0.832,0.0228
CTGAN,5,backdoor,-0.0029,0.0021,0.0003,0.0007,0.9723,0.0012
CTGAN,5,shellcode,0.0101,0.0083,0.023,0.0118,0.5977,0.0056
CTGAN,5,worms,-0.0196,0.0245,-0.0273,0.0412,0.8258,0.0176
Drifting,1,backdoor,0.0003,0.0019,0.0002,0.0005,0.9756,0.0012
Drifting,1,shellcode,0.0056,0.0083,0.0066,0.0118,0.5932,0.0051
Drifting,1,worms,-0.0062,0.0344,-0.025,0.0378,0.8393,0.0248
Drifting,3,backdoor,0.0001,0.0018,0.0002,0.0005,0.9753,0.0013
Drifting,3,shellcode,0.0054,0.0098,0.0061,0.0152,0.593,0.0042
Drifting,3,worms,-0.0066,0.0283,-0.0455,0.0567,0.8388,0.0184
Drifting,5,backdoor,0.0003,0.0013,0.0002,0.0005,0.9756,0.001
Drifting,5,shellcode,0.0065,0.007,0.004,0.0136,0.5941,0.0047
Drifting,5,worms,-0.0106,0.0271,-0.0523,0.0429,0.8348,0.0145
TabDDPM,1,backdoor,0.0003,0.0014,0.0009,0.0012,0.9755,0.001
TabDDPM,1,shellcode,0.0076,0.0101,0.019,0.0167,0.5951,0.0053
TabDDPM,1,worms,-0.0072,0.0293,-0.0091,0.0469,0.8382,0.0273
TabDDPM,3,backdoor,0.0013,0.0018,0.0014,0.0011,0.9765,0.0008
TabDDPM,3,shellcode,0.0097,0.0074,0.0196,0.0071,0.5973,0.0054
TabDDPM,3,worms,-0.0031,0.031,-0.0068,0.0416,0.8423,0.0189
TabDDPM,5,backdoor,0.0008,0.0012,0.0014,0.0011,0.976,0.0008
TabDDPM,5,shellcode,0.0117,0.0105,0.023,0.013,0.5993,0.0053
TabDDPM,5,worms,0.0071,0.033,-0.0159,0.0429,0.8525,0.0128
